Inicio;Fin;IRI
592780;592800;2,2
592800;592820;1,9
592820;592840;2,0
592840;592860;2,0
592860;592880;2,3
592880;592900;2,6
592900;592920;2,2
592920;592940;2,5
592940;592960;2,4
592960;592980;2,6
592980;593000;3,5
593000;593020;3,3
593020;593040;3,1
593040;593060;2,8
593060;593080;3,5
593080;593100;3,0
593100;593120;2,1
593120;593140;2,8
593140;593160;3,7
593160;593180;3,4
593180;593200;3,6
593200;593220;3,3
593220;593240;3,0
593240;593260;3,1
593260;593280;3,4
593280;593300;3,0
593300;593320;2,1
593320;593340;2,4
593340;593360;2,5
593360;593380;2,5
593380;593400;2,3
593400;593420;2,8
593420;593440;2,0
593440;593460;2,0
593460;593480;2,5
593480;593500;2,2
593500;593520;2,1
593520;593540;3,0
593540;593560;2,4
593560;593580;1,9
593580;593600;2,2
593600;593620;2,9
593620;593640;2,7
593640;593660;2,8
593660;593680;3,8
593680;593700;3,4
593700;593720;3,0
593720;593740;3,3
593740;593760;2,6
593760;593780;2,4
593780;593800;2,7
593800;593820;2,5
593820;593840;3,3
593840;593860;3,5
593860;593880;2,6
593880;593900;2,1
593900;593920;2,3
593920;593940;2,0
593940;593960;1,6
593960;593980;1,9
593980;594000;2,0
594000;594020;1,9
594020;594040;2,2
594040;594060;2,3
594060;594080;1,9
594080;594100;2,1
594100;594120;1,8
594120;594140;2,8
594140;594160;3,6
594160;594180;2,9
594180;594200;2,9
594200;594220;1,9
594220;594240;2,3
594240;594260;2,8
594260;594280;2,3
594280;594300;2,4
594300;594320;4,8
594320;594340;3,2
594340;594360;2,4
594360;594380;2,3
594380;594400;2,0
594400;594420;2,8
594420;594440;2,7
594440;594460;2,4
594460;594480;3,1
594480;594500;2,1
594500;594520;2,4
594520;594540;1,9
594540;594560;2,4
594560;594580;2,2
594580;594600;2,8
594600;594620;3,1
594620;594640;2,0
594640;594660;2,0
594660;594680;2,0
594680;594700;2,3
594700;594720;2,1
594720;594740;2,9
594740;594760;3,0
594760;594780;2,8
594780;594800;2,2
594800;594820;2,3
594820;594840;1,9
594840;594860;2,0
594860;594880;2,5
594880;594900;2,8
594900;594920;3,1
594920;594940;3,5
594940;594960;2,6
594960;594980;2,1
594980;595000;2,1
595000;595020;2,4
595020;595040;2,6
595040;595060;2,3
595060;595080;2,2
595080;595100;2,8
595100;595120;3,6
595120;595140;2,9
595140;595160;2,4
595160;595180;3,3
595180;595200;3,5
595200;595220;2,8
595220;595240;2,3
595240;595260;3,0
595260;595280;3,0
595280;595300;2,6
595300;595320;2,0
595320;595340;1,9
595340;595360;2,3
595360;595380;2,3
595380;595400;2,2
595400;595420;3,0
595420;595440;3,2
595440;595460;3,6
595460;595480;3,3
595480;595500;3,4
595500;595520;3,4
595520;595540;3,5
595540;595560;2,8
595560;595580;2,9
595580;595600;3,4
595600;595620;3,8
595620;595640;3,7
595640;595660;2,4
595660;595680;1,9
595680;595700;1,7
595700;595720;2,3
595720;595740;2,1
595740;595760;2,7
595760;595780;2,4
595780;595800;2,3
595800;595820;2,7
595820;595840;2,7
595840;595860;2,4
